ID,Nombre,Región,Provincia,Comuna,Edad,Instrumentos,Link,Lugar específico,Instructores,Elenco, 
FOJI_A177,Orquesta Juan Pablo II,Región de la Araucanía,Provincia de Cautín,Pucón,Infantil,, ,Región de la Araucanía - Provincia de Cautín - Pucón,1,22, 
FOJI_A178,ORQUESTA JUVENIL AMADEUS,Región del Biobío,Provincia de Biobío,Los Ángeles,Juvenil,, ,"Región del Biobío - Provincia de Biobío - Los Ángeles , LOS ANGELES", ,15, 
FOJI_A179,Orquesta Juvenil Carlos Montané Castro,Región de Ñuble,Provincia de Itata,Quirihue,Juvenil,"Cuerdas, Percusión", https://catastro.foji.cl/orquesta/657/orquestajuvenilcmc,Región de Ñuble - Provincia de Itata - Quirihue,2,26, 
FOJI_A180,Orquesta Juvenil CDA (Colegio de Difusión Artística Los Ulmos),Región de los Lagos,Provincia de Llanquihue,Puerto Montt,Juvenil - Infantil,, ,"Región de los Lagos - Provincia de Llanquihue - Puerto Montt , Los Muermos",1,23, 
FOJI_A181,Orquesta Juvenil Colegio Nacional,Región de Valparaíso,Provincia de Marga Marga,Villa Alemana,Juvenil - Infantil,, ,Región de Valparaíso - Provincia de Marga Marga - Villa Alemana,4,14, 
FOJI_A182,Orquesta Juvenil de Angol,Región de la Araucanía,Provincia de Malleco,Angol,Juvenil - Infantil,,https://conservatorio.ubiobio/,Región de la Araucanía - Provincia de Malleco - Angol,5,13, 
FOJI_A183,Orquesta Juvenil de Cuerdas Teatro Municipal de San Javier,Región del Maule,Provincia de Linares,San Javier,Juvenil,, ,Región del Maule - Provincia de Linares - San Javier,5,16, 
FOJI_A184,Orquesta Juvenil De La Corporacion Municipal De Villa Alemana,Región de Valparaíso,Provincia de Marga Marga,Villa Alemana,Juvenil - Infantil,,https://orquesta%20estudiantil%20de%20lebu/,Región de Valparaíso - Provincia de Marga Marga - Villa Alemana, , , 
FOJI_A185,Orquesta Juvenil De La Florida,Región Metropolitana,Provincia de Santiago,La Florida,Juvenil - Infantil,, ,"Región Metropolitana - Provincia de Santiago - La Florida , Santiago", , , 
FOJI_A186,Orquesta Juvenil De Limache,Región de Valparaíso,Provincia de Marga Marga,Limache,Juvenil,,"https://www.facebook.com/cultura.antofagasta , https://www.youtube.com/user/CCAFTA , https://www.instagram.com/culturaantofagasta/",Región de Valparaíso - Provincia de Marga Marga - Limache, , , 
FOJI_A187,Orquesta Juvenil de Linares,Región del Maule,Provincia de Linares,Linares,Juvenil,, ,Región del Maule - Provincia de Linares - Linares,5,26, 
FOJI_A188,Orquesta Juvenil De Los Angeles,Región del Biobío,Provincia de Concepción,Concepción,Juvenil - Infantil,, ,Región del Biobío - Provincia de Concepción - Concepción, ,24, 
FOJI_A189,Orquesta Juvenil de Nacimiento,Región del Biobío,Provincia de Biobío,Nacimiento,Juvenil - Infantil,, ,Región del Biobío - Provincia de Biobío - Nacimiento,4,27, 
FOJI_A190,Orquesta Juvenil de Pelarco,Región del Maule,Provincia de Talca,Pelarco,Juvenil - Infantil,, ,"Región del Maule - Provincia de Talca - Pelarco , Talca",8,31, 
